audio_id,video_id,title,source,source_url,audio_file_path,translation_file_path,translation_status,duration_sec,sample_rate,channels,format
yt_AwO0KHZOOlc,AwO0KHZOOlc,Khác biệt giọng 3 miền Bắc - Trung - Nam | VyLog này đáng iu ep.15 Khánh Vy,youtube,https://www.youtube.com/watch?v=AwO0KHZOOlc,/data/processed/audio/yt_AwO0KHZOOlc.wav,data/processed/translations/yt_AwO0KHZOOlc.txt,ready,552.435,16000,1,wav
yt_aRBlQgQKDp0,aRBlQgQKDp0,Đặc trưng ẩm thực miền Trung,youtube,https://www.youtube.com/watch?v=aRBlQgQKDp0,/data/processed/audio/yt_aRBlQgQKDp0.wav,data/processed/translations/yt_aRBlQgQKDp0.txt,ready,256.476,16000,1,wav
yt_LNrHwOkIDe4,LNrHwOkIDe4,Các địa điểm du lịch nổi tiếng ở Miền Trung/khám phá miền trung #travel #hoianmemoriesshow1,youtube,https://www.youtube.com/watch?v=LNrHwOkIDe4,/data/processed/audio/yt_LNrHwOkIDe4.wav,data/processed/translations/yt_LNrHwOkIDe4.txt,ready,468.358,16000,1,wav
yt_NDhLbmo32EM,NDhLbmo32EM,Đơn Giản Hóa #50: Tiếng Địa Phương,youtube,https://www.youtube.com/watch?v=NDhLbmo32EM,/data/processed/audio/yt_NDhLbmo32EM.wav,data/processed/translations/yt_NDhLbmo32EM.txt,ready,360.304,16000,1,wav
yt_AhGsjadDVTA,AhGsjadDVTA,-Tiếng Quảng Nam cho người biết tiếng Việt (P1),youtube,https://www.youtube.com/watch?v=AhGsjadDVTA,/data/processed/audio/yt_AhGsjadDVTA.wav,data/processed/translations/yt_AhGsjadDVTA.txt,ready,182.3,16000,1,wav
yt_-_IakaDAOhg,-_IakaDAOhg,GIỌNG HUẾ| Nói như người Huế!!!,youtube,https://www.youtube.com/watch?v=-_IakaDAOhg,/data/processed/audio/yt_-_IakaDAOhg.wav,data/processed/translations/yt_-_IakaDAOhg.txt,ready,524.98,16000,1,wav
yt_8Mjg7k8fuqI,8Mjg7k8fuqI,CUỘC HẸN CUỐI TUẦN - HÀ NHI và PHAN MẠNH QUỲNH dạy MC LONG VŨ nói tiếng NGHỆ,youtube,https://www.youtube.com/watch?v=8Mjg7k8fuqI,/data/processed/audio/yt_8Mjg7k8fuqI.wav,data/processed/translations/yt_8Mjg7k8fuqI.txt,ready,527.12,16000,1,wav
yt_awPyukYGk24,awPyukYGk24,THALIC VOICE | Chuyển sang GIỌNG HÀ NỘI cho người HÀ TĨNH NGHỆ AN | Phần 1: Thanh dấu #thalicvoice,youtube,https://www.youtube.com/watch?v=awPyukYGk24,/data/processed/audio/yt_awPyukYGk24.wav,data/processed/translations/yt_awPyukYGk24.txt,ready,403.749,16000,1,wav
yt_yNZdvc_Sa-Q,yNZdvc_Sa-Q,Vietnamese boy Quang Binh 🔹 Speaks English very well and Intelligent.,youtube,https://www.youtube.com/watch?v=yNZdvc_Sa-Q,/data/processed/audio/yt_yNZdvc_Sa-Q.wav,data/processed/translations/yt_yNZdvc_Sa-Q.txt,ready,186.886,16000,1,wav
yt_QB3n8JM_Nrw,QB3n8JM_Nrw,QUẢN(G) TRỊ GIỌNG NÓI - ĐĂNG HÒA Saigon Tếu | Hài Độc Thoại,youtube,https://www.youtube.com/watch?v=QB3n8JM_Nrw,/data/processed/audio/yt_QB3n8JM_Nrw.wav,data/processed/translations/yt_QB3n8JM_Nrw.txt,ready,531.888,16000,1,wav
yt_0bt1FA0LHlI,0bt1FA0LHlI,"Bí thư Thành ủy Nguyễn Bá Thanh nói chuyện với cán bộ lãnh đạo, quản lý các cấp thành phố Đà Nẵng",youtube,https://www.youtube.com/watch?v=0bt1FA0LHlI,/data/processed/audio/yt_0bt1FA0LHlI.wav,data/processed/translations/yt_0bt1FA0LHlI.txt,ready,11458.723,16000,1,wav
yt_ECiKtkjDrbw,ECiKtkjDrbw,Chỉ yêu thôi thì không đủ - Hoàng Nam Tiến | #HaveASip 172,youtube,https://www.youtube.com/watch?v=ECiKtkjDrbw,/data/processed/audio/yt_ECiKtkjDrbw.wav,data/processed/translations/yt_ECiKtkjDrbw.txt,ready,4698.744,16000,1,wav
yt_ujFW7yE2gJg,ujFW7yE2gJg,Podcast Huế luôn luôn mới (số 40): MỘT NGÀY Ở HUẾ,youtube,https://www.youtube.com/watch?v=ujFW7yE2gJg,/data/processed/audio/yt_ujFW7yE2gJg.wav,data/processed/translations/yt_ujFW7yE2gJg.txt,ready,1050.283,16000,1,wav
yt_uhaJeNB442I,uhaJeNB442I,(vlog) nói tiếng Nghệ An với chị tui l thử thách chị tui hiểu tui bao nhiêu l SonTrangVlog,youtube,https://www.youtube.com/watch?v=uhaJeNB442I,/data/processed/audio/yt_uhaJeNB442I.wav,data/processed/translations/yt_uhaJeNB442I.txt,ready,565.397,16000,1,wav
yt_ueFU35snx7E,ueFU35snx7E,Podcast: VĂN NGHỆ THIẾU NHI 27/08 | Hà Tĩnh TV,youtube,https://www.youtube.com/watch?v=ueFU35snx7E,/data/processed/audio/yt_ueFU35snx7E.wav,data/processed/translations/yt_ueFU35snx7E.txt,ready,1796.416,16000,1,wav
