audio_id,video_id,title,source,source_url,audio_file_path,translation_file_path,translation_status,duration_sec,sample_rate,channels,format
yt_tbt6eQVD6nw,tbt6eQVD6nw,"Bài 59: Đọc ""Đi học"" | TIẾNG VIỆT 1 | VTV7",youtube,https://www.youtube.com/watch?v=tbt6eQVD6nw,data/processed/audio/yt_tbt6eQVD6nw.wav,data/processed/translations/yt_tbt6eQVD6nw.txt,ready,1793.335,16000,1,wav
yt_pIEOosb19rk,pIEOosb19rk,Cách Nói Chuyện Của Người Miền Nam Sau Này Khó Nghe Quá!,youtube,https://www.youtube.com/watch?v=pIEOosb19rk,data/processed/audio/yt_pIEOosb19rk.wav,data/processed/translations/yt_pIEOosb19rk.txt,missing,890.323,16000,1,wav
yt_nPwUjmji1X0,nPwUjmji1X0,Dịu Dàng Yêu - Đào Duy Quý ft. Lil'Wuan「Cukak Remix」/ Audio Lyrics Video,youtube,https://www.youtube.com/watch?v=nPwUjmji1X0,data/processed/audio/yt_nPwUjmji1X0.wav,data/processed/translations/yt_nPwUjmji1X0.txt,ready,202.873,16000,1,wav
yt_hT4w1EucfdU,hT4w1EucfdU,Chuỗi Ngày Vắng Em [AM Remix] - Châu Khải Phong | Nhạc Vinahouse Remix Hay Nhất,youtube,https://www.youtube.com/watch?v=hT4w1EucfdU,data/processed/audio/yt_hT4w1EucfdU.wav,data/processed/translations/yt_hT4w1EucfdU.txt,missing,262.014,16000,1,wav
yt_OEz0WEErrSc,OEz0WEErrSc,"HÓA GIẢI BẰNG NƯỚC MẮT (AM REMIX) - CAO THÁI SƠN |Thời gian chẳng đợi chờ mình, nếu sai mình làm lại",youtube,https://www.youtube.com/watch?v=OEz0WEErrSc,data/processed/audio/yt_OEz0WEErrSc.wav,data/processed/translations/yt_OEz0WEErrSc.txt,missing,248.361,16000,1,wav
yt_MjE3Yxrv5NY,MjE3Yxrv5NY,"SƠN THUỶ TRÙNG MÂY x THUỶ CHUNG x YẾN VÔ HIẾT (VIETZ x WI. REMIX) - JENA, ANH RỒNG,THƯƠNG VÕ,MÂY BAE",youtube,https://www.youtube.com/watch?v=MjE3Yxrv5NY,data/processed/audio/yt_MjE3Yxrv5NY.wav,data/processed/translations/yt_MjE3Yxrv5NY.txt,ready,375.339,16000,1,wav
yt_L_p-2iVYaEs,L_p-2iVYaEs,GIỌNG CHUẨN tiếng Việt là MIỀN TRUNG [TiengVietNe],youtube,https://www.youtube.com/watch?v=L_p-2iVYaEs,/data/processed/audio/yt_L_p-2iVYaEs.wav,data/processed/translations/yt_L_p-2iVYaEs.txt,ready,857.49,16000,1,wav
yt_hRuSRUYwmRI,hRuSRUYwmRI,Người miền Bắc học tiếng Nghệ An ? - Phần 1,youtube,https://www.youtube.com/watch?v=hRuSRUYwmRI,/data/processed/audio/yt_hRuSRUYwmRI.wav,data/processed/translations/yt_hRuSRUYwmRI.txt,ready,323.849,16000,1,wav
yt_WNvaEIJDNQ0,WNvaEIJDNQ0,Video Tổng Hợp Các Địa Danh Của Nghệ An Siêu Đẹp - Flycam 4k Nếm TV,youtube,https://www.youtube.com/watch?v=WNvaEIJDNQ0,/data/processed/audio/yt_WNvaEIJDNQ0.wav,data/processed/translations/yt_WNvaEIJDNQ0.txt,missing,214.355,16000,1,wav
yt_DZNcyhd6IPs,DZNcyhd6IPs,Tá Hỏa Khi Lâu Ngày ghé thăm lại gia đình Dì Minh.,youtube,https://www.youtube.com/watch?v=DZNcyhd6IPs,/data/processed/audio/yt_DZNcyhd6IPs.wav,data/processed/translations/yt_DZNcyhd6IPs.txt,ready,2157.842,16000,1,wav
yt_JUlVV9YkXcg,JUlVV9YkXcg,(Phần 1) Cách nói và hát giọng HUẾ - Ví dụ trong cụ thể trong bài hát-Hà Thế Dũng,youtube,https://www.youtube.com/watch?v=JUlVV9YkXcg,/data/processed/audio/yt_JUlVV9YkXcg.wav,data/processed/translations/yt_JUlVV9YkXcg.txt,missing,967.982,16000,1,wav
yt_nLVilbP7GIE,nLVilbP7GIE,"Thu hoạch cây vải sớm I Cuộc sống chậm rãi bình yên nông thôn, không tiếng xe cộ ồn ào!",youtube,https://www.youtube.com/watch?v=nLVilbP7GIE,/data/processed/audio/yt_nLVilbP7GIE.wav,data/processed/translations/yt_nLVilbP7GIE.txt,missing,11821.128,16000,1,wav
yt_IFKfbx6xLPk,IFKfbx6xLPk,Bún riêu cua đồng mẹ nấu ngọt ngào hương vị đồng quê ( Crab Paste Vermicelli Soup ) I Ẩm Thực Mẹ Làm,youtube,https://www.youtube.com/watch?v=IFKfbx6xLPk,/data/processed/audio/yt_IFKfbx6xLPk.wav,data/processed/translations/yt_IFKfbx6xLPk.txt,ready,558.01,16000,1,wav
