audio_id,video_id,title,source,source_url,audio_file_path,translation_file_path,translation_status,duration_sec,sample_rate,channels,format
yt_uaNmju8xJhk,uaNmju8xJhk,Podcast | Huế: Tình yêu và khoảng trời x Năm mười mười lăm hai mươi,youtube,https://www.youtube.com/watch?v=uaNmju8xJhk,/data/processed/audio/yt_uaNmju8xJhk.wav,data/processed/translations/yt_uaNmju8xJhk.txt,ready,337.63,16000,1,wav
yt_77XwdHJqteA,77XwdHJqteA,"TDCK Xóm AB.K13 | Podcast "" Sự chênh vênh của tuổi đôi mươi "" | Minh Nhật, Bích Trâm | WellVoice",youtube,https://www.youtube.com/watch?v=77XwdHJqteA,/data/processed/audio/yt_77XwdHJqteA.wav,data/processed/translations/yt_77XwdHJqteA.txt,ready,427.294,16000,1,wav
yt_N4x3JPrMAXo,N4x3JPrMAXo,Nhạc Chế Dọng Hưng Dũng Vô Đối - Đặc Sản Tiếng Nghệ An,youtube,https://www.youtube.com/watch?v=N4x3JPrMAXo,/data/processed/audio/yt_N4x3JPrMAXo.wav,data/processed/translations/yt_N4x3JPrMAXo.txt,ready,2412.019,16000,1,wav
yt_peSutITcawo,peSutITcawo,"【Truyện Audio】THAM GIA SHOW GIẢI TRÍ, TIẾNG LÒNG CỦA TÔI BỊ CẢ THẾ GIỚI NGHE THẤY | Tinh Hà Audio",youtube,https://www.youtube.com/watch?v=peSutITcawo,/data/processed/audio/yt_peSutITcawo.wav,data/processed/translations/yt_peSutITcawo.txt,ready,2180.296,16000,1,wav
yt_MEvmJck3s8o,MEvmJck3s8o,Dấu Ấn Nguyễn Bá Thanh Làm Nên Thương Hiệu Đà Nẵng | Radio 91,youtube,https://www.youtube.com/watch?v=MEvmJck3s8o,/data/processed/audio/yt_MEvmJck3s8o.wav,data/processed/translations/yt_MEvmJck3s8o.txt,ready,4856.279,16000,1,wav
yt_SQXevmc-sbc,SQXevmc-sbc,Cô bé chọc Trường Giang bằng giọng Quảng Nam khiến Trấn Thành cực 'cưng' | DQC,youtube,https://www.youtube.com/watch?v=SQXevmc-sbc,/data/processed/audio/yt_SQXevmc-sbc.wav,data/processed/translations/yt_SQXevmc-sbc.txt,ready,979.847,16000,1,wav
yt_AQjCIvlL5KE,AQjCIvlL5KE,Kể Chuyện Đêm Khuya - TÌNH YÊU MÙ QUÁNG - Full - Truyện kể cực hay nên nghe 1 lần - MC Thu Huệ kể,youtube,https://www.youtube.com/watch?v=AQjCIvlL5KE,/data/processed/audio/yt_AQjCIvlL5KE.wav,data/processed/translations/yt_AQjCIvlL5KE.txt,ready,3869.478,16000,1,wav
yt_WfjMUfG4kK4,WfjMUfG4kK4,Truyện kể cảm động về Bác Hồ |Qua giọng thuyết minh viên tại điểm quê Nội Bác Hồ bằng giọng Nghệ An,youtube,https://www.youtube.com/watch?v=WfjMUfG4kK4,/data/processed/audio/yt_WfjMUfG4kK4.wav,data/processed/translations/yt_WfjMUfG4kK4.txt,ready,461.891,16000,1,wav
yt_qQ99GUbcagQ,qQ99GUbcagQ,chơi slime và kể chuyện. Cre: Kiệt Hà Tĩnh. / Sun 🩷ღ,youtube,https://www.youtube.com/watch?v=qQ99GUbcagQ,/data/processed/audio/yt_qQ99GUbcagQ.wav,data/processed/translations/yt_qQ99GUbcagQ.txt,ready,737.001,16000,1,wav
yt_j-rj2v2wFs4,j-rj2v2wFs4,"Mất Hết Tiền Ở Đà Nẵng, Du Khách Mỹ Kể Câu Chuyện Khiến Báo Mỹ Viết Bài Ca Ngợi Việt Nam!",youtube,https://www.youtube.com/watch?v=j-rj2v2wFs4,/data/processed/audio/yt_j-rj2v2wFs4.wav,data/processed/translations/yt_j-rj2v2wFs4.txt,ready,2453.711,16000,1,wav
